index,input,identity_level,old_exact_urls,old_exact_url_in_new_raw,old_exact_url_in_new_candidates,new_exact_candidate_urls,candidate_decisions,page_check_selection,page_load_observed,operator_verdict,main_product_verdict,js_shell_observed,provider_blocked,provider_timeout,budget_over_75s,fetch_limit,current_adjudication,current_primary_page_evidence,current_operator_evidence
22,Logitech MX Keys S,model,https://www.logitech.com/en-us/shop/p/mx-keys-s | https://www.logitech.com/en-us/shop/p/mx-keys-s-combo | https://www.logitech.com/en-us/shop/p/mx-keys-s-combo-for-mac,3,3,https://logitech.com/en-us/shop/p/mx-keys-s | https://logitech.com/en-us/shop/p/mx-keys-s-combo | https://logitech.com/en-us/shop/p/mx-keys-s-combo-for-mac | https://logitech.com/en-us/shop/p/mx-keys-s-combo-mac-refurb | https://logitech.com/en-us/shop/p/mx-keys-s-for-mac | https://logitech.com/shop/p/mx-keys-s | https://logitech.com/shop/p/mx-keys-s-combo | https://logitech.com/shop/p/mx-keys-s-combo-for-mac | https://logitech.com/shop/p/mx-keys-s-combo-mac-refurb | https://logitech.com/shop/p/mx-keys-s-for-mac | https://logitech.com/en-us/shop/p/mx-keys-s-combo-for-mac.920-012592?sp=11&searchclick=Logitech | https://logitech.com/en-us/shop/p/mx-keys-s-combo.920-011889?sp=4&searchclick=Logitech | https://logitech.com/en-us/shop/p/mx-keys-s-for-mac.920-011622?sp=9&searchclick=Logitech | https://logitech.com/en-us/shop/p/mx-keys-s.920-011559?sp=3&searchclick=Logitech,secondary:exact:provisional:https://logitech.com/en-us/shop/p/mx-keys-s | secondary:exact:provisional:https://logitech.com/en-us/shop/p/mx-keys-s-combo | secondary:exact:provisional:https://logitech.com/en-us/shop/p/mx-keys-s-combo-for-mac,https://logitech.com/en-us/shop/p/mx-keys-s:provisional_top4 | https://logitech.com/en-us/shop/p/mx-keys-s-combo:provisional_top4 | https://logitech.com/en-us/shop/p/mx-keys-s-combo-for-mac:provisional_top4,not_recorded,unknown,not_recorded,False,1,0,False,provisional fetch outcomes were not archived; blocking cannot be inferred,confirmed_current_false_refusal,https://www.logitech.com/en-us/shop/p/mx-keys-s,https://www.logitech.com/en-us/legal/services-privacy-statement
24,SteelSeries Arctis Nova Pro Wireless,model,https://support.steelseries.com/hc/en-us/articles/45428646758029-What-s-the-difference-between-Arctis-Nova-Pro-Wireless-and-Nova-Pro-Omni | https://support.steelseries.com/hc/en-us/sections/6438322173581-Arctis-Nova-Pro-Wireless,1,1,https://support.steelseries.com/hc/en-us/articles/6611490144269-Arctis-Nova-Pro-Wireless-Unboxing-and-Setup | https://support.steelseries.com/hc/en-us/articles/6612534244493-How-to-pair-your-Arctis-Nova-Pro-Wireless-to-the-Base-Station | https://support.steelseries.com/hc/en-us/sections/6438322173581-Arctis-NOVA-Pro-Wireless | https://ko.brainwavzaudio.com/products/steelseries-arctis-nova-pro-wireless-earpad-adapter | https://modio.cz/p/steelseries-arctis-nova-pro-wireless | https://allegro.cz/produkt/sluchatka-do-usi-steelseries-arctis-nova-pro-wireless-75f88348-9182-4ed0-aed4-b759aaaae0f0 | https://datart.cz/headset-steelseries-arctis-nova-pro-wireless-p-61522-cerny | https://sluchatka.heureka.cz/steelseries-arctis-nova-pro-wireless | https://techradar.com/gaming/steelseries-arctis-nova-elite-vs-steelseries-arctis-nova-pro-wireless | https://tsbohemia.cz/steelseries-arctis-nova-pro-wireless_d498959 | https://xn--vg1b14l6tk.xn--3e0b707e/steelseries/arctis-nova-pro-wireless/%EB%A7%A4%EB%89%B4%EC%96%BC,secondary:exact:provisional:https://support.steelseries.com/hc/en-us/sections/6438322173581-Arctis-NOVA-Pro-Wireless,https://support.steelseries.com/hc/en-us/sections/6438322173581-Arctis-NOVA-Pro-Wireless:not_selected,not_recorded,unknown,not_recorded,False,6,1,False,provisional fetch outcomes were not archived; blocking cannot be inferred,unknown,,
25,Samsung Odyssey OLED G8 G80SD,model,https://www.samsung.com/us/monitors/gaming/odyssey-oled-g8-g80sd-32-inch-240hz-oled-uhd-ls32dg800snxza/,0,0,https://samsung.com/au/monitors/gaming/odyssey-oled-g8-g80sd-32-inch-240hz-oled-uhd-ls32dg802sexxy | https://samsung.com/bg/monitors/gaming/odyssey-oled-g8-g80sd-32-inch-240hz-oled-uhd-ls32dg802suxdu | https://samsung.com/ca/monitors/gaming/odyssey-oled-g8-g80sd-32-inch-240hz-oled-uhd-ls32dg800snxza | https://samsung.com/cz/monitors/gaming/odyssey-oled-g8-g80sd-32-inch-240hz-oled-uhd-ls32dg802suxdu | https://samsung.com/de/monitors/gaming/odyssey-oled-g8-g80sd-32-inch-240hz-oled-uhd-ls32dg800suxen | https://samsung.com/gr/monitors/gaming/odyssey-oled-g8-g80sd-32-inch-240hz-oled-uhd-ls32dg802suxdu | https://samsung.com/ie/monitors/gaming/odyssey-oled-g8-g80sd-32-inch-240hz-oled-uhd-ls32dg802suxxu | https://samsung.com/latin_en/monitors/gaming/odyssey-oled-g8-g80sd-32-inch-240hz-oled-uhd-ls32dg802snxza | https://samsung.com/no/monitors/gaming/odyssey-oled-g8-g80sd-32-inch-240hz-oled-uhd-ls32dg802suxen | https://samsung.com/sg/monitors/gaming/odyssey-oled-g8-g80sd-32-inch-240hz-oled-uhd-ls32dg802sexxs | https://samsung.com/sk/monitors/gaming/odyssey-oled-g8-g80sd-32-inch-240hz-oled-uhd-ls32dg802suxdu | https://samsung.com/uk/monitors/gaming/odyssey-oled-g8-g80sd-32-inch-240hz-oled-uhd-ls32dg802suxxu | https://samsung.com/ae/business/monitors/gaming/odyssey-oled-g8-g80sd-32-inch-240hz-oled-uhd-ls32dg802smxue | https://samsung.com/ar/monitors/gaming/odyssey-oled-g8-g80sd-32-inch-240hz-oled-uhd-ls32dg800slxzb | https://samsung.com/br/monitors/gaming/odyssey-oled-g8-g80sd-32-inch-240hz-oled-uhd-ls32dg800slxzd | https://samsung.com/id/monitors/gaming/odyssey-oled-g8-g80sd-32-inch-240hz-oled-uhd-ls32dg802sexxd | https://galaxus.ch/en/s1/product/samsung-odyssey-oled-g8-g80sd-3840-x-2160-pixels-32-monitor-43778687 | https://tradeinn.com/techinn/ko/samsung-odyssey-oled-g8-g80sd-32-4k-oled-240hz-%EA%B2%8C%EC%9E%84-%EB%AA%A8%EB%8B%88%ED%84%B0/142579364/p | https://r1.community.samsung.com/t5/pc/%EC%82%BC%EC%84%B1-%EC%98%A4%EB%94%94%EC%84%B8%EC%9D%B4-oled-g8-g80sd-%EA%B0%9C%EB%B4%89%EA%B8%B0/m-p/28041439 | https://mironet.cz/32-samsung-odyssey-g8-g80sd-stribrna-oled-3840x2160-169-003ms-10000001-250cdm2-hdmi-dp-vesa+dp707975,,,not_recorded,not_recorded,not_recorded,False,5,1,False,provisional fetch outcomes were not archived; blocking cannot be inferred,unknown,,
26,LG OLED evo C4,family,https://www.lg.com/africa/tvs/lg-oled55c46la-55-inch-oled-evo-4k-c4-smart-tv | https://www.lg.com/africa/tvs/lg-oled77c46la-77-inch-oled-evo-4k-c4-smart-tv,1,1,https://beachcamera.com/products/lg-65-inch-class-oled-evo-c4-series-smart-tv-4k-processor-2024 | https://flipkart.com/lg-oled-evo-c4-139-cm-55-inch-ultra-hd-4k-smart-webos-tv-2024-alpha-9-ai-processor-4k-gen7-picture-pro-dolby-vision-sound-virtual-9-1-2ch-up-mix-atmos-144hz-vrr-40w-output-magic-remote-nvidia-g-sync-amd-freesync-certified/p/itmd75fd0474463b | https://greentoe.com/product/LG_LG_OLED_Evo_C4_65_4K_HDR_Smart_TV_OLED65C4PUA | https://lg.com/africa/tvs/lg-oled55c46la-55-inch-oled-evo-4k-c4-smart-tv | https://device.report/manuals/lg-oled-evo-c4-55-inch-4k-tv-webos-specs | https://lowes.com/pd/LG-Electronics-OLED-evo-C4-65-in-2160p-4K-Smart-Oled-Indoor-Use-Only-Flat-Screen-Ultra-HDTV/5015757317,secondary:exact:provisional:https://lg.com/africa/tvs/lg-oled55c46la-55-inch-oled-evo-4k-c4-smart-tv,https://lg.com/africa/tvs/lg-oled55c46la-55-inch-oled-evo-4k-c4-smart-tv:provisional_top4,not_recorded,unknown,not_recorded,False,8,1,False,provisional fetch outcomes were not archived; blocking cannot be inferred,unknown,,
28,Lenovo ThinkPad X1 Carbon Gen 13 Aura Edition,model,https://www.lenovo.com/dz/fr/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-13-aura-edition-14-inch-intel/len101t0108,1,1,https://lenovo.com/au/en/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-13-aura-edition-14-inch-intel/21nxcto1wwau4 | https://lenovo.com/ca/en/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-13-aura-edition-14-inch-intel/21nxcto1wwca1 | https://lenovo.com/ca/en/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-13-aura-edition-14-inch-intel/len101t0108 | https://lenovo.com/ch/en/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-13-aura-edition-14-inch-intel/21nxcto1wwch4 | https://lenovo.com/dz/fr/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-13-aura-edition-14-inch-intel/len101t0108 | https://lenovo.com/gb/en/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-13-aura-edition-14-inch-intel/21nscto1wwgb2 | https://lenovo.com/gh/en/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-13-aura-edition-14-inch-intel/len101t0108 | https://lenovo.com/id/id/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-13-aura-edition-14-inch-intel/len101t0108 | https://lenovo.com/ie/en/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-13-aura-edition-14-inch-intel/21nxcto1wwie5 | https://lenovo.com/in/en/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-13-aura-edition-14-inch-intel/len101t0108 | https://lenovo.com/jp/ja/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-13-aura-edition-14-inch-intel/len101t0108 | https://lenovo.com/kr/ko/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-13-aura-edition-14-inch-intel/21ns00nukr | https://lenovo.com/kr/ko/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-13-aura-edition-14-inch-intel/21nx00g5kr | https://lenovo.com/kr/ko/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-13-aura-edition-14-inch-intel/21nxs02l00 | https://lenovo.com/kr/ko/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-13-aura-edition-14-inch-intel/len101t0108 | https://lenovo.com/kr/ko/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-13-aura-edition-14-inch-intel/len101t0114 | https://lenovo.com/my/en/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-13-aura-edition-14-inch-intel/21ns00nvma | https://lenovo.com/ph/en/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-13-aura-edition-14-inch-intel/len101t0108 | https://lenovo.com/sg/en/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-13-aura-edition-14-inch-intel/21nscto1wwsg1 | https://lenovo.com/us/en/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-13-aura-edition-14-inch-intel/21ns0013us | https://lenovo.com/us/en/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-13-aura-edition-14-inch-intel/21nscto1wwus2 | https://psref.lenovo.com/syspool/Sys/PDF/ThinkPad/ThinkPad_X1_Carbon_Gen_13_Aura_Edition/ThinkPad_X1_Carbon_Gen_13_Aura_Edition_Spec.PDF,secondary:exact:provisional:https://lenovo.com/dz/fr/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-13-aura-edition-14-inch-intel/len101t0108,https://lenovo.com/dz/fr/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-13-aura-edition-14-inch-intel/len101t0108:not_selected,not_recorded,unknown,not_recorded,False,4,1,False,provisional fetch outcomes were not archived; blocking cannot be inferred,unknown,,
29,Epson EcoTank L6270,sku,https://www.epson.eu/en_EU/products/printers/inkjet/consumer/ecotank-l6270-multifunction-wi-fi-ink-tank-a4-printer%2C-with-up-to-3-years-of-ink-included/p/30259 | https://epson.com/L6270,2,2,"https://epson.eu/en_EU/products/printers/inkjet/consumer/ecotank-l6270-multifunction-wi-fi-ink-tank-a4-printer%2C-with-up-to-3-years-of-ink-included/p/30259 | https://epson.eu/en_EU/products/printers/inkjet/consumer/ecotank-l6270-multifunction-wi-fi-ink-tank-a4-printer,-with-up-to-3-years-of-ink-included/p/30259 | https://epson.co.in/For-Home/Printers/EcoTank-Printers/Epson-L6270-WiFi-Duplex-Multifunction-InkTank-Printer-with-ADF/p/C11CJ61502 | https://epson.com.jm/Support/Printers/All-In-Ones/L-Series/Epson-L6270/s/SPT_C11CJ61301 | https://epson.eu/en_EU/support/sc/epson-l6270/s/s1962 | https://epson.co.kr/%EA%B3%A0%EA%B0%9D%EC%A7%80%EC%9B%90/%ED%94%84%EB%A6%B0%ED%84%B0/%EB%B3%B5%ED%95%A9%EA%B8%B0/%EC%A0%95%ED%92%88%EB%AC%B4%ED%95%9C-L-%EC%8B%9C%EB%A6%AC%EC%A6%88/L6270/s/SPT_C11CJ61507 | https://epson.co.kr/L6270 | https://epson.com.ph/Ink-Tank-Printers/L-Series/Epson-L6270/s/SPT_C11CJ61501 | https://epson.com/L6270 | https://kuwait.microless.com/product/epson-ecotank-l6270-a4-wi-fi-duplex-aio-ink-tank-printer-with-adf-borderless-printing-up-to-a4-size-spill-free-ink-refilling-15-5ipm-8-5ipm-print-speed-4800x1200-dpi-resolution-black-c11cj61407 | https://uae.sharafdg.com/product/epson-eco-tank-l6270-all-in-one-ink-jet-printer | https://onlineshop.cz/multifunkcni-inkoustove-tiskarny/multifunkcni-tiskarna-epson-ecotank-l6270-970237P.html | https://allegro.cz/produkt/epson-ecotank-l6270-multifunkcni-inkoustova-tiskarna-skener-kopirka-b33df681-da2b-4ccc-80e6-18e852bd328a | https://alza.cz/epson-ecotank-l6270-bazar-d7648544.htm | https://datart.cz/recenze/tiskarna-multifunkcni-epson-ecotank-l6270-c11cj61403-cerna.html | https://lazada.sg/tag/epson-ecotank-l6270-ink | https://megapixel.cz/epson-ecotank-l6270 | https://momentsun.com/epson-ecotank-l6270 | https://planeo.cz/epson-ecotank-l6270 | https://smarty.cz/Epson-EcoTank-L6270-zaruka-na-5-let-po-registraci--4p99766 | https://zbozi.cz/vyrobek/epson-ecotank-l6270 | https://lazada.com.ph/tag/epson-l6270 | https://jumia.com.ng/generic-epson-printers-epson-printers-l6270-a4-wi-fi-duplex-all-in-one-ink-tank-printer-with-adf-420243458.html",secondary:exact:provisional:https://epson.eu/en_EU/products/printers/inkjet/consumer/ecotank-l6270-multifunction-wi-fi-ink-tank-a4-printer%2C-with-up-to-3-years-of-ink-included/p/30259 | secondary:exact:provisional:https://epson.com/L6270,https://epson.eu/en_EU/products/printers/inkjet/consumer/ecotank-l6270-multifunction-wi-fi-ink-tank-a4-printer%2C-with-up-to-3-years-of-ink-included/p/30259:provisional_top4 | https://epson.com/L6270:not_selected,not_recorded,unknown,not_recorded,False,6,2,True,provisional fetch outcomes were not archived; blocking cannot be inferred,confirmed_current_false_refusal,https://www.epson.eu/en_EU/products/printers/inkjet/consumer/ecotank-l6270-multifunction-wi-fi-ink-tank-a4-printer%2C-with-up-to-3-years-of-ink-included/p/30259,https://www.epson.eu/en_EU/terms-of-use
30,Canon CanoScan LiDE 400,model,https://usa.canon.com/shop/p/canoscan-lide-400,1,1,https://canon-europe.com/business/products/scanners/flatbed-scanners/canoscan-lide-400 | https://canon-europe.com/business/products/scanners/flatbed-scanners/canoscan-lide-400/specifications | https://canon-europe.com/support/consumer/products/scanners/canoscan/lide-series/canoscan-lide-400.html | https://canon.co.uk/store/canon-canoscan-lide-400-flatbed-scanner-black/2996C010 | https://canon.cz/support/consumer/products/scanners/canoscan/lide-series/canoscan-lide-400.html | https://shop.canon.ca/en_ca/p/canoscan-lide-400-scanner | https://shop.canon.ca/en_ca/p/canoscan-lide-400-scanner?bvstate=%5BREDACTED%5D | https://shop.canon.ca/fr_ca/p/canoscan-lide-400 | https://usa.canon.com/shop/p/canoscan-lide-400 | https://canon.ie/store/canon-canoscan-lide-400-flatbed-scanner-black/2996C010 | https://canon.nl/store/canon-canoscan-lide-400-flatbedscanner-zwart/2996C010 | https://community.usa.canon.com/t5/Scanners/CanoScan-LIDE-400-Crashes-Computer/td-p/569479 | https://community.usa.canon.com/t5/Scanners/CanoScan-LiDE-400-How-to-scan-at-4800-and-19200-dpi/td-p/584653 | https://bestbuy.com/product/canon-canoscan-lide-400-flatbed-scanner-black/J7C86SSQP4 | https://adorama.com/canon-canoscan-lide-400-slim-flatbed-scanner-4800-dpi/p/icacsl400 | https://bhphotovideo.com/c/product/1428261-REG/canon_2996c002_canoscan_lide_400_color.html | https://myproav.com/product/%ED%95%B4%EC%99%B8-2996c002-canon-canoscan-lide-400-slim-color-image-scanner-156/52600/category/162/display/1 | https://myproav.com/product/canon-canoscan-lide-400-slim-color-image-scanner/53620/category/162/display/1 | https://tikkle.kr/product/canoscan-canon-%EC%8A%A4%EC%BA%90%EB%84%88-%ED%94%8C%EB%9E%AB%EB%B2%A0%EB%93%9C-%EC%BB%AC%EB%9F%AC-canoscan-lide-400 | https://tikkle.kr/product/canoscan-canon-%EC%8A%A4%EC%BA%90%EB%84%88-%ED%94%8C%EB%9E%AB%EB%B2%A0%EB%93%9C-%EC%BB%AC%EB%9F%AC-canoscan-lide-400-1 | https://manualowl.com/m/Canon/CanoScan-LiDE-400/Manual/618564 | https://manualslib.com/manual/2455633/Cannon-Canoscan-Lide-400.html | https://galaxus.ch/en/s1/product/canon-lide-400-canoscan-usb-scanners-9388707 | https://xn--vg1b14l6tk.xn--3e0b707e/canon/canoscan-lide-400/%EB%A7%A4%EB%89%B4%EC%96%BC | https://amazon.com/canon-canoscan-lide-400/s?k=canon+canoscan+lide+400 | https://community.usa.canon.com/t5/Scanners/Canoscan-LiDE400-scan-return-suddenly-slow/td-p/569104,secondary:exact:provisional:https://usa.canon.com/shop/p/canoscan-lide-400,https://usa.canon.com/shop/p/canoscan-lide-400:not_selected,not_recorded,unknown,not_recorded,False,3,3,True,provisional fetch outcomes were not archived; blocking cannot be inferred,confirmed_current_false_refusal,https://www.usa.canon.com/shop/p/canoscan-lide-400,https://global.canon/ja/news/2017/20170427-2.html
32,Crucial T705,family,https://www.crucial.com/ssd/t705/CT4000T705SSD5 | https://www.crucial.de/ssd/t705/CT4000T705SSD5 | https://www.crucial.fr/ssd/t705/CT4000T705SSD5,3,3,https://crucial.com/ssd/t705/CT4000T705SSD5 | https://crucial.de/ssd/t705/CT4000T705SSD5 | https://crucial.fr/ssd/t705/CT4000T705SSD5,secondary:exact:provisional:https://crucial.com/ssd/t705/CT4000T705SSD5 | secondary:exact:provisional:https://crucial.de/ssd/t705/CT4000T705SSD5 | secondary:exact:provisional:https://crucial.fr/ssd/t705/CT4000T705SSD5,https://crucial.com/ssd/t705/CT4000T705SSD5:provisional_top4 | https://crucial.de/ssd/t705/CT4000T705SSD5:provisional_top4 | https://crucial.fr/ssd/t705/CT4000T705SSD5:provisional_top4,not_recorded,unknown,not_recorded,False,4,1,False,provisional fetch outcomes were not archived; blocking cannot be inferred,unknown,,
35,MSI MAG X870 TOMAHAWK WIFI,model,https://jp.msi.com/Motherboard/MAG-X870-TOMAHAWK-WIFI,1,1,https://download-2.msi.com/archive/mnu_exe/mb/MAGX870TOMAHAWKWIFI_Korean.pdf | https://es.msi.com/Motherboard/MAG-X870-TOMAHAWK-WIFI/support | https://id.msi.com/Motherboard/MAG-X870-TOMAHAWK-WIFI/Specification | https://msi.com/Motherboard/MAG-X870-TOMAHAWK-WIFI/Specification | https://msi.com/Motherboard/MAG-X870-TOMAHAWK-WIFI/support | https://msi.com/support/download-manual/MAG-X870-TOMAHAWK-WIFI | https://storage-asset.msi.com/datasheet/mb/mx/MAG-X870-TOMAHAWK-WIFI.pdf | https://de.msi.com/Motherboard/MAG-X870-TOMAHAWK-WIFI | https://es.msi.com/Motherboard/MAG-X870-TOMAHAWK-WIFI | https://hk.msi.com/Motherboard/MAG-X870-TOMAHAWK-WIFI | https://it.msi.com/Motherboard/MAG-X870-TOMAHAWK-WIFI | https://jp.msi.com/Motherboard/MAG-X870-TOMAHAWK-WIFI | https://kr.msi.com/Motherboard/MAG-X870-TOMAHAWK-WIFI/Award | https://msi.com/Motherboard/MAG-X870-TOMAHAWK-WIFI | https://th.msi.com/Motherboard/MAG-X870-TOMAHAWK-WIFI | https://tw.msi.com/Motherboard/MAG-X870-TOMAHAWK-WIFI | https://us-store.msi.com/MAG-X870-TOMAHAWK-WIFI | https://us.msi.com/Motherboard/MAG-X870-TOMAHAWK-WIFI | https://bhphotovideo.com/c/product/1852608-REG/msi_x870tmahawkwifi_mag_x870_tomahawk_wifi.html | https://newegg.com/msi-mag-x870-tomahawk-wifi-atx-motherboard-amd-x870-am5/p/N82E16813144667 | https://manualowl.com/m/MSI/MAG-X870-TOMAHAWK-WIFI/Manual/738331 | https://pc-builds.com/ko/parts/motherboard/WzzXJ6/msi-mag-x870-tomahawk-wifi-am5-atx | https://slickdeals.net/f/18797278-msi-mag-x870-tomahawk-wifi-amd-ryzen-9000-gaming-motherboard-229-99 | https://techreviewer.com/tech-specs/msi-mag-x870-tomahawk-wifi-motherboard-specs,secondary:exact:provisional:https://jp.msi.com/Motherboard/MAG-X870-TOMAHAWK-WIFI,https://jp.msi.com/Motherboard/MAG-X870-TOMAHAWK-WIFI:not_selected,not_recorded,unknown,not_recorded,False,5,1,False,provisional fetch outcomes were not archived; blocking cannot be inferred,unknown,,
36,DEWALT DCD805P2T,sku,https://www.dewalt.co.uk/en-gb/product/dcd805p2t-gb/18v-xr-brushless-hammer-drill-driver-2-5ah-batteries,1,1,https://dewalt-morava.cz/aku-vrtacky/dcd805p2t-dewalt-18v-xr-aku-bezuhlikova-priklepova-vrtacka--2-x-5-0-ah-baterie--nabijecka--kufr-t-stak | https://dasawa.net/product/%EB%94%94%EC%9B%94%ED%8A%B8-%EA%B5%AD%EB%82%B4%EC%A0%95%ED%92%88-%ED%96%84%EB%A8%B8%EB%93%9C%EB%A6%B4-20v-max-50ah-xr-%EB%B8%8C%EB%9F%AC%EC%89%AC%EB%A6%AC%EC%8A%A4-%ED%94%84%EB%A6%AC%EB%AF%B8%EC%97%84-%EC%BB%B4%ED%8C%A9%ED%8A%B8-%ED%96%84%EB%A8%B8-%EB%93%9C%EB%A6%B4-%EB%93%9C%EB%9D%BC%EC%9D%B4%EB%B2%84-dcd805p2t-%EC%A0%84%EB%8F%99-%ED%95%A8/2052 | https://happytools.co.kr/product/%EB%94%94%EC%9B%94%ED%8A%B8-20v-%EC%B6%A9%EC%A0%84%ED%95%A8%EB%A7%88%EB%93%9C%EB%A6%B4-%EB%93%9C%EB%9D%BC%EC%9D%B4%EB%B2%84-dcd805p2t-50ah-%EB%B0%B0%ED%84%B0%EB%A6%AC2%EA%B0%9C-%ED%96%84%EB%A8%B8%EB%93%9C%EB%A6%B4/5162 | https://kjsgmall.com/product/%EB%94%94%EC%9B%94%ED%8A%B8-xr-%EB%B8%8C%EB%9F%AC%EC%8B%9C%EB%A6%AC%EC%8A%A4-%EC%B6%A9%EC%A0%84-%ED%95%B4%EB%A8%B8%EB%93%9C%EB%A6%B4-%EC%84%B8%ED%8A%B8-13mm-20v-%EB%B0%B0%ED%84%B0%EB%A6%AC%C3%972-dcd805p2t/54/category/135/display/1 | https://manualslib.com/products/Dewalt-Xr-Dcd805p2t-12507286.html | https://manualzz.com/manual/en/DeWalt/DCD805P2T/User+manual | https://daangn.com/kr/buy-sell/%EB%94%94%EC%9B%94%ED%8A%B8-%EB%93%9C%EB%A6%B4-%EC%84%B8%ED%8A%B8-dcd805p2t-nkcfchbv7dc4 | https://dek.cz/produkty/detail/3247226042-dcd805p2t-18v-xr-vrtacka-s-priklepem-2xaku-5-0ah-kufr-tstak | https://elektrodvorak.cz/dewalt-dcd805p2t-aku-vrtacka-priklepova-2xbaterienabijecka/pro520781.html | https://kovetools.cz/aku-vrtacky-a-sroubovaky/aku-bezuhlikova-priklepova-vrtacka-18v-xr-5-0ah-dcd805p2t-dewalt,secondary:probable:provisional:https://dewalt.co.uk/en-gb/product/dcd805p2t-gb/18v-xr-brushless-hammer-drill-driver-2-5ah-batteries,https://dewalt.co.uk/en-gb/product/dcd805p2t-gb/18v-xr-brushless-hammer-drill-driver-2-5ah-batteries:provisional_top4,not_recorded,unknown,not_recorded,False,4,2,False,provisional fetch outcomes were not archived; blocking cannot be inferred,unknown,,
37,Makita GA023GZ,sku,https://www.makita.co.nz/products/model/GA023GZ,1,1,https://makita.co.nz/products/model/GA023GZ | https://makita.com.au/cordless/xgt-40v-80v-max/grinding-sanding-polishing/angle-grinders/ga023gz-40v-max-brushless-125mm-5-variable-speed-slide-switch-angle-grinder | https://makita.com.vn/en/product/platform-en/40v-max/angle-grinder-40v-max/ga023gz-cordless-angle-grinder | https://makita-cr.cz/aku-naradi-aku-brusky-aku-uhlove-brusky/aku-uhlova-bruska-125mm-xgt-40v-bez-aku-makita-ga023gz | https://makitapraha.cz/ga023gz | https://conrad.com/en/p/makita-ga023gz-ga023gz-cordless-angle-grinder-125-mm-w-o-battery-40-v-2386293.html | https://manualslib.com/products/Makita-Ga023gz-11580610.html | https://manua.ls/makita/ga023gz/manual | https://allegro.cz/produkt/makita-m-ga023gz-5577272d-1c52-4f9a-85fd-047669c8fc52 | https://allegro.cz/produkt/uhlova-bruska-125mm-makita-ga023gz-xgt-30008500-ot-min-304abf2d-e4ce-47c2-af4c-acf7aed80b5c | https://bcfasteners.com/shop/makita-ga023gz-xgt-40v-max-brushless-5-angle-grinder-w-aws-slide-switch | https://brusky.heureka.cz/makita-ga023gz | https://cena-vykon.cz/uhlove-brusky/makita-ga023gz | https://euroking.cz/makita-xgt-ga023gz-akkuwinkelschleifer-40vmax | https://fepro.cz/xgt-40v-6/makita-ga023gz-aku-uhlova-bruska-s-regulaci-125mm-li-ion-xgt-40v--bez-aku-z | https://garteko.cz/aku-uhlova-bruska-makita-ga023gz | https://klium.com/en/makita-ga023gz-40vmax-xgt-cordless-angle-grinder-125mm-with-slide-switch-without-battery-and-charger-107068 | https://lectura-specs.com/en/model/tools/cordless-power-tools-cordless-grinders-cordless-angle-grinders-makita/ga023gz-11765973 | https://manualslib.com/g/ga023gz.html | https://naradihornig.cz/makita-ga023gz-aku-uhlova-bruska-125mm-xgt-40v-3000-8500-ot-min-bez-baterie_z44640 | https://zbozi.cz/vyrobek/makita-ga023gz-40-v,secondary:exact:provisional:https://makita.co.nz/products/model/GA023GZ,https://makita.co.nz/products/model/GA023GZ:provisional_top4,not_recorded,unknown,not_recorded,False,6,4,True,provisional fetch outcomes were not archived; blocking cannot be inferred,confirmed_current_false_refusal,https://www.makita.co.nz/products/model/GA023GZ,https://www.makita.co.nz/about/
